race_id,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,model,circuit_source
2024_17,0.0,1.0,2.0,0.5526315789473685,4.2,0.8259231422088646,20.0,1.3614066456121117,0.04316596600000001,strength_mc,inferred
2024_18,1.0,1.0,1.0,0.9280701754385964,2.0,0.9886439102582281,20.0,0.9879210068254825,0.02677475025,strength_mc,inferred
2024_19,0.0,0.0,4.0,0.8315789473684211,3.3,0.5930893067844667,20.0,2.2136588837996443,0.052040251250000016,strength_mc,inferred
2024_20,1.0,1.0,1.0,0.8872549019607844,3.3,0.918032247981404,20.0,0.7161087921972924,0.018409514999999998,strength_mc,inferred
2024_21,0.0,0.0,5.0,0.4642857142857142,4.0,0.31516947279359525,18.0,3.409733712684442,0.07340300472222222,strength_mc,inferred
2024_22,1.0,1.0,1.0,0.7997936016511867,3.4,0.8172885440104963,20.0,0.6762900634935225,0.014869205250000003,strength_mc,inferred
2024_23,0.0,1.0,2.0,0.6214285714285712,3.2,0.6951133666997015,20.0,1.5159475693467614,0.04139449075,strength_mc,inferred
2024_24,1.0,1.0,1.0,0.5808823529411765,3.9,0.8291992890403714,20.0,0.4361820807702249,0.008653248750000004,strength_mc,inferred
2025_01,1.0,1.0,1.0,0.5604395604395604,4.7,0.9095565943566785,20.0,0.4970870976554775,0.010247749500000002,strength_mc,inferred
2025_02,1.0,1.0,1.0,0.6441176470588235,5.1,0.9685757681110965,20.0,0.4913498472653339,0.0101653675,strength_mc,inferred
2025_03,1.0,1.0,1.0,0.9593984962406013,1.0,1.0,20.0,0.5525160508201997,0.012785833,strength_mc,inferred
2025_04,1.0,1.0,1.0,0.7894736842105263,2.9,0.9388755862097978,20.0,0.8616841823832833,0.020706663499999996,strength_mc,inferred
2025_05,0.0,1.0,2.0,0.9690402476780186,2.4,0.8341629842127403,20.0,1.3321850354728586,0.042403273000000005,strength_mc,inferred
2025_06,0.0,1.0,3.0,0.9264705882352942,2.0,0.6719985761328573,20.0,2.3382122706371966,0.058336707749999994,strength_mc,inferred
2025_07,0.0,1.0,3.0,0.8968008255933952,2.7,0.7003059879158462,20.0,1.6801286530568698,0.045651591,strength_mc,inferred
2025_08,1.0,1.0,1.0,0.8823529411764706,2.7,0.9915243463752744,20.0,0.3911185144012428,0.0071128007499999995,strength_mc,inferred
2025_09,1.0,1.0,1.0,0.7843137254901962,3.263157894736842,0.9148419826137146,19.0,0.4402118444379992,0.009366395,strength_mc,inferred
2025_10,1.0,1.0,1.0,0.6676986584107326,3.4,0.88497558840975,20.0,0.9559415375039472,0.0252683505,strength_mc,inferred
2025_11,1.0,1.0,1.0,0.7970588235294117,3.6842105263157894,0.9980797092553024,19.0,0.5649298827591914,0.01307344842105263,strength_mc,inferred
2025_12,0.0,1.0,3.0,0.3285714285714285,5.052631578947368,0.6820552227425518,19.0,1.5488132906176655,0.044475244736842105,strength_mc,inferred
2025_13,0.0,1.0,2.0,0.78796992481203,2.4,0.8706231822162195,20.0,1.1958393044292137,0.03916072549999999,strength_mc,inferred
2025_14,0.0,1.0,3.0,0.856140350877193,2.7,0.7757522070771342,20.0,1.5375824753336722,0.04374917325,strength_mc,inferred
2025_15,1.0,1.0,1.0,0.19711042311661509,6.0,0.9311429737414604,20.0,0.40414098514603314,0.00835242925,strength_mc,inferred
2025_16,0.0,1.0,3.0,0.933952528379773,2.210526315789474,0.7370890385317951,19.0,1.567816237743281,0.04474039342105263,strength_mc,inferred
2025_17,1.0,1.0,1.0,0.8982456140350877,2.9,0.8800532107887252,20.0,0.4604494164409239,0.0081970635,strength_mc,inferred
2025_18,1.0,1.0,1.0,0.8345864661654135,2.3,0.9939247024102634,20.0,0.6338410746625378,0.01491234525,strength_mc,inferred
