race_id,model,temperature,n_races,last_training_index,objective
2022_11,calibrated_form5,0.6556924306305683,32,169.0,winner
2022_12,calibrated_form5,0.6867090988009027,33,170.0,winner
2022_13,calibrated_form5,0.6680101811505682,34,171.0,winner
2022_14,calibrated_form5,0.6508795319918758,35,172.0,winner
2022_15,calibrated_form5,0.635138155210852,36,173.0,winner
2022_16,calibrated_form5,0.6205977982280362,37,174.0,winner
2022_17,calibrated_form5,0.6070955865622776,38,175.0,winner
2022_18,calibrated_form5,0.6095007291809781,39,176.0,winner
2022_19,calibrated_form5,0.5969495088888703,40,177.0,winner
2022_20,calibrated_form5,0.5852251938885928,41,178.0,winner
2022_21,calibrated_form5,0.5744590458512383,42,179.0,winner
2022_22,calibrated_form5,0.5834848875988824,43,180.0,winner
2023_01,calibrated_form5,0.5732695925452084,44,181.0,winner
2023_02,calibrated_form5,0.5636509115889342,45,182.0,winner
2023_03,calibrated_form5,0.5622154924712015,46,183.0,winner
2023_04,calibrated_form5,0.5533777696196366,47,184.0,winner
2023_05,calibrated_form5,0.5522354068349162,48,185.0,winner
2023_06,calibrated_form5,0.5440720028021659,49,186.0,winner
2023_07,calibrated_form5,0.5363169815279955,50,187.0,winner
2023_08,calibrated_form5,0.5289372173466605,51,188.0,winner
2023_09,calibrated_form5,0.5219053081057072,52,189.0,winner
2023_10,calibrated_form5,0.5151934374655402,53,190.0,winner
2023_11,calibrated_form5,0.5087798888248181,54,191.0,winner
2023_12,calibrated_form5,0.5026420063730662,55,192.0,winner
2023_13,calibrated_form5,0.4967644273173084,56,193.0,winner
2023_14,calibrated_form5,0.4911247245412652,57,194.0,winner
2023_15,calibrated_form5,0.4858213553059974,58,195.0,winner
2023_16,calibrated_form5,0.4983665528571392,59,196.0,winner
2023_17,calibrated_form5,0.49297525622814903,60,197.0,winner
2023_18,calibrated_form5,0.4878940530696723,61,198.0,winner
2023_19,calibrated_form5,0.4828959185085379,62,199.0,winner
2023_20,calibrated_form5,0.4781741271487841,63,200.0,winner
2023_21,calibrated_form5,0.47362033833707456,64,201.0,winner
